Title,Skills,Experience,Education
Менеджер по пресейл и стратегии,,От 1 года до 3 лет,Not specified
Chief Product Officer,,Более 6 лет,Not specified
Middle python-разработчик,,От 1 года до 3 лет,Not specified
Заместитель начальника отдела разработки функциональных требований,"Анализ бизнес-процессов, Бизнес-анализ, BPMN, Разработка функциональных требований, Управление бизнес процессами, Описание бизнес-процессов",От 3 до 6 лет,Not specified
Аналитик по управлению данными,"SQL, Анализ данных, ORACLE, PostgreSQL, ETL, DWH, Визуализация данных",Нет опыта,Not specified
Руководитель группы аналитики,"категорийная аналитика, MS Excel, SQL, Управление командой, Аналитические исследования",От 3 до 6 лет,Not specified
Java разработчик Консолидированные группы,"Java, Spring Boot, OpenShift, Kubernetes",От 3 до 6 лет,Not specified
Quantitative Analyst,,От 1 года до 3 лет,Not specified
Middle Java Developer,"Spring Framework, Java, SQL, PostgreSQL, Hibernate, Flyway, Apache Maven, NoSQL, Gradle, REST API, Spring Data, Spring Boot, Spring Cloud, Spring Web, Рефакторинг кода, Сбор требований, RabbitMQ, Spring Security, Gitlab",От 1 года до 3 лет,Not specified
Системный аналитик АСУ ОГР,"UML, BPMN, Системный анализ, XML, Atlassian Confluence, ER-диаграммы",От 3 до 6 лет,Not specified
Аналитик хранилищ данных (Middle),SQL,От 3 до 6 лет,Not specified
Директор по аналитике и эффективности технического блока,,Более 6 лет,Not specified
Разработчик хранилищ данных (Middle),"SQL, ETL, Python, C#",От 3 до 6 лет,Not specified
Junior Game Analyst (casual games),"Python, SQL, Математическая статистика, A/B тесты, Data Analysis, Gamedev",От 1 года до 3 лет,Not specified
Руководитель направления работы с маркетплейсами,"E-Commerce, Деловое общение, Аналитическое мышление, Интернет маркетинг, Аналитика продаж, Конкурентная аналитика, Стратегическое мышление, Аналитика, SEO оптимизация",От 3 до 6 лет,Not specified
Data Engineer,"Статистический анализ, Python, Clickhouse, SQL, Разработка технических заданий, Системная интеграция",От 1 года до 3 лет,Not specified
Бизнес-аналитик,,От 1 года до 3 лет,Not specified
Java-разработчик (Senior),"Java, Spring Framework, REST API",От 3 до 6 лет,Not specified
"Data Scientist (классический ML, Антифрод)","Numpy, Clickhouse, ETL, pandas, SQL, Python, Классическое машинное обучение, SciPy, XGBoost, LightGBM, CatBoost, Matplotlib, Jupyter Notebook, Интерпретация данных, Исследовательский анализ данных, Основы баз данных",От 3 до 6 лет,Not specified
Data Scientist / Machine Learning Engineer / Аналитик данных,"Python, SQL, Анализ данных, Data Analysis, PyTorch, Data Science, Machine Learning, Matplotlib, Seaborn",От 1 года до 3 лет,Not specified
Middle Java developer (back-end) разработчик,"Java, Spring Boot, JUnit, Mockito, NoSQL, PostgreSQL, MapStruct, Spring Security, Apache Maven, Apache Kafka, Intellij IDEA, Spring Data, SOAP Client, Postman, Spring Web, Spring Framework, SoapUI",От 3 до 6 лет,Not specified
Руководитель группы аналитики,,От 3 до 6 лет,Not specified
Бизнес аналитик,,От 3 до 6 лет,Not specified
Аналитик данных (КЦ) / Data analyst,"MS SQL, MS Excel, Power BI, Внимательность к деталям, Проактивность",От 1 года до 3 лет,Not specified
Руководитель группы разработки,"MS SQL, Camunda, Java, PostgreSQL, Apache Kafka, Docker, Kubernetes, Mockito, Helm, Grafana, Spring Boot, Spring Data",От 3 до 6 лет,Not specified
DevOps (Junior+),,Нет опыта,Not specified
Менеджер по маркетингу (Data center/ЦОД),"Маркетинговая стратегия, Контентная стратегия, Анализ эффективности PR-кампании, SEO, Планирование маркетинговых кампаний, B2B-маркетинг, Маркетинговые исследования, Интернет-маркетинг, Масштабирование маркетинговых кампаний, Разработка маркетинговых кампаний, Запуск маркетинговых кампаний, Автоматизация маркетинговых кампаний",От 1 года до 3 лет,Not specified
Аналитик отчетности,,От 1 года до 3 лет,Not specified
Data Engineer / Инженер данных,,От 3 до 6 лет,Not specified
Financial analyst (specialist),"Английский язык, Формирование аналитической отчетности, Приветствуются кандидаты выпускники компаний «большой четверки»",От 1 года до 3 лет,Not specified
Аналитик финансовых рынков,"Английский язык, Financial Analysis, Финансовый анализ, Финансовое моделирование, Креативность, Фундаментальный анализ",От 1 года до 3 лет,Not specified
Head of Marketing (Global),,Более 6 лет,Not specified
Системный / продуктовый аналитик,,От 1 года до 3 лет,Not specified
Аналитик данных CausalML / ML-Engineer (Data Science),"CausalML, ML, Python, XGBoost, Scikit-learn, Causal Inference, Reinforcement learning, MLOps, Kubernetes, Causal learning",От 1 года до 3 лет,Not specified
Аналитик данных,,От 1 года до 3 лет,Not specified
Маркетолог-аналитик/Аналитик данных,,От 1 года до 3 лет,Not specified
Руководитель проектов IT (Project Manager),"Управление проектами, Проектный менеджмент, P&L, Управление бэклогом, MS Project, Project management, Управление ресурсами, Performance-ревью, Customer Journey Mapping, Управление рисками, Жизненный цикл проекта, Основы управления проектами, Жизненный цикл команды, Организаторские навыки, Управление коммуникациями, Организация работы сотрудников, Кадровый менеджмент, Разработка и внедрение KPI",От 1 года до 3 лет,Not specified
Инженер данных,"ETL, MS SQL, СУБД, Apache Airflow, Git, Docker",От 1 года до 3 лет,Not specified
Аналитик-разработчик,"SQL, Python, Алгоритмы и структуры данных",От 1 года до 3 лет,Not specified
Руководитель проектов,,От 1 года до 3 лет,Not specified
Бизнес-аналитик (Datalens),"Miro, Аналитика маркетплейсов, программирование, Алгоритмы и структуры данных, Power BI, Clickhouse, Big Data, DataLens, PostgreSQL, MS SQL, Python, Pest-Анализ, ABC-анализ, A/B тесты, маркетплейсы, Бизнес-анализ",От 1 года до 3 лет,Not specified
Data Engineer,,От 1 года до 3 лет,Not specified
Аналитик данных BI,,От 1 года до 3 лет,Not specified
Маркетолог-аналитик,,От 1 года до 3 лет,Not specified
Product Manager,,От 3 до 6 лет,Not specified
Chief Data Officer,,Более 6 лет,Not specified
Системный аналитик / System Analyst,"REST, Apache Kafka, XML, JSON, SQL",От 3 до 6 лет,Not specified
Data/BI-аналитик,,От 1 года до 3 лет,Not specified
Разработчик компьютерного зрения,,Нет опыта,Not specified
Data Analyst (Finance) | Дата аналитик (Финансы),"SQL, Python, Tableau, Data Analysis",От 1 года до 3 лет,Not specified
Дизайнер специальных проектов (digital),"Adobe Photoshop, Figma",От 3 до 6 лет,Not specified
Product manager (Регистрация бизнеса),,От 1 года до 3 лет,Not specified
Data Analytics & Business Insights Analyst,,От 3 до 6 лет,Not specified
Business Development Manager в команду Cross-Boarder (Менеджер по развитию бизнеса),,От 3 до 6 лет,Not specified
Системный аналитик (Налоговый мониторинг),,От 3 до 6 лет,Not specified
Аналитик данных (Data Analyst),,Нет опыта,Not specified
QA Lead /Руководитель отдела тестирования,"Руководство коллективом, Java, Автоматизированное тестирование, Ручное тестирование, Нагрузочное тестирование",От 3 до 6 лет,Not specified
Product Manager в T‑Black,,От 3 до 6 лет,Not specified
Системный аналитик,"Работа с большим объемом информации, Точность и внимательность к деталям, Аналитическое мышление, SQL, Python, Apache NiFi",От 1 года до 3 лет,Not specified
"Product Owner (Crypto), PO, CPO","Product-market fit, Unit-экономика, Agile, Roadmap, Продуктовые метрики, Управление бэклогом, аналитика данных",От 3 до 6 лет,Not specified
Аналитик данных,"SQL, Python, Power BI, Big Data, Анализ бизнес показателей, Аналитика, PostgreSQL, Работа с большим объемом информации",От 3 до 6 лет,Not specified
Бизнес-аналитик (Business Analyst / BA),,От 1 года до 3 лет,Not specified
Data Analyst,,Нет опыта,Not specified
Junior Аналитик DWH/Data аналитик,SQL,От 1 года до 3 лет,Not specified
QA инженер/тестировщик,"Тестирование, Написание тестовой документации, SQL, Проведение тестирований, Ручное тестирование",От 3 до 6 лет,Not specified
Marketing Data Analyst,"Python, SQL, MS Excel, Tableau, Бизнес-анализ, SEO оптимизация, Маркетинговый анализ, Английский язык, Исследовательский анализ данных, Организация работы сотрудников, Формирование аналитической отчетности, Маркетинговые метрики",От 1 года до 3 лет,Not specified
Аналитик данных,"SQL, Python, Исследовательский анализ данных",От 1 года до 3 лет,Not specified
Продуктовый аналитик (FinTech),"SQL, A/B тесты, Google Data Studio",От 1 года до 3 лет,Not specified
Middle Java-разработчик,"Kafka, SQL, Elasticsearch, NoSQL, Spring, Java",От 3 до 6 лет,Not specified
Стажер Data scientist (Проекты внедрения технологий ИИ),,От 1 года до 3 лет,Not specified
Аналитик данных (проект Честный знак),,От 1 года до 3 лет,Not specified
Специалист отдела мониторинга (спортивный аналитик),"спортивная аналитика, математика, Аналитический склад ума, Математическая статистика, Работа с большим объемом информации, Математический анализ, Букмекер, Ставки на спорт",Нет опыта,Not specified
Системный аналитик,"SQL, PostgreSQL, Atlassian Jira, Atlassian Confluence, Elasticsearch, Анализ требований, Postman",От 1 года до 3 лет,Not specified
Аналитик,"MS Excel, Analytical skills, Big Data, Аналитика, Аналитическое мышление, Английский язык, Аналитика продаж, Анализ данных",От 3 до 6 лет,Not specified
Системный аналитик по управлению данными,"Data Governance, DataHub, Open Metadata, Dochub, Arch Tool, Great Expectations, Apache Atlas",От 3 до 6 лет,Not specified
Продуктовый аналитик,,От 1 года до 3 лет,Not specified
Tech Lead DWH,"DWH, Hadoop, ETL, ИТ-архитектура, Greenplum, ORACLE",Более 6 лет,Not specified
