Title,Skills,Experience,Education
Middle Product Analyst (AI/ML),"Анализ данных, Критическое мышление, Стратегическое мышление, Product Management, Бизнес-анализ, Работа с большим объемом информации",От 1 года до 3 лет,Not specified
QA auto engineer / QA automation / Тестировщик - автоматизатор,,От 3 до 6 лет,Not specified
Senior медиа-аналитик,"MS Excel, Mediascope, Яндекс.Метрика, MS PowerPoint, Математический анализ, Математическая статистика, большой объем данных",От 3 до 6 лет,Not specified
Старший Java-разработчик (Интеграции),"Java, Spring Boot, Spring Framework, Kafka, PostgreSQL, Maven",От 3 до 6 лет,Not specified
Business Analyst/Бизнес-аналитик,"MS Excel, Tableau, Python, MS SQL",От 3 до 6 лет,Not specified
Инженер данных (Data engineer),"Python, SQL, REST API, Анализ данных",От 1 года до 3 лет,Not specified
Data Analyst / System Analyst,,От 3 до 6 лет,Not specified
BI-аналитик,,От 1 года до 3 лет,Not specified
User Acquisition Manager,"Внимательность, Исполнительность, Ответственность, Facebook Ads, Анализ трафика",От 1 года до 3 лет,Not specified
Аналитик,,От 1 года до 3 лет,Not specified
Talent Acquisition Lead,,От 3 до 6 лет,Not specified
Strategy AI Consultant,,От 3 до 6 лет,Not specified
Продуктовый дизайнер (Evolution DataPlatform),,От 3 до 6 лет,Not specified
Team Lead Java,,Более 6 лет,Not specified
Продуктовый аналитик в команду AI агенты,"SQL, Продуктовые метрики, Аналитическое мышление, Исследовательский анализ данных",От 3 до 6 лет,Not specified
Рекрутер/ Менеджер по подбору персонала,"Рекрутмент, Подбор персонала, Точечный подбор персонала, Подбор топ-менеджеров, Проведение собеседований, Адаптация персонала",От 3 до 6 лет,Not specified
Аналитик (математическое моделирование),"SQL, Python, MS SQL, Математическое моделирование, Аналитика, финасовые рынки, Big Data, MATLAB, Математическая статистика, Математический анализ",От 1 года до 3 лет,Not specified
Аналитик данных,,От 3 до 6 лет,Not specified
Маркетолог (эзотерика),"Маркетинговые коммуникации, Internet Marketing, Организаторские навыки, Яндекс.Метрика, Креативность, B2C маркетинг",От 1 года до 3 лет,Not specified
Аналитик данных / Data Analyst,"SQL, Python, Apache Airflow, Clickhouse, Jupiter, Git, A/B тесты, Data Analysis, DataLens, anti-fraud, антифрод, Математическая статистика",От 3 до 6 лет,Not specified
Data analyst (Аналитик данных в Индию),"Python, SQL, Power BI, ETL, DAX, Обучение и развитие, Английский язык",От 1 года до 3 лет,Not specified
Junior Performance Manager (In-app),"AdJust, Медиапланирование, Performance-маркетинг",От 1 года до 3 лет,Not specified
BI Developer,"Английский язык, Power BI, Tableau, SQL",От 3 до 6 лет,Not specified
Business Analyst (Pricing ERP),"Анализ бизнес-процессов, Бизнес-анализ",От 3 до 6 лет,Not specified
Эксперт системный аналитик (портал gosuslugi.ru),,Более 6 лет,Not specified
HR менеджер,"Подбор персонала, Тестирование профессиональных компетенций, Система мотивации персонала, Анализ требований, Управление ожиданиями, Найм персонала, Аттестация персонала, Кадровая стратегия, HR-аналитика",От 1 года до 3 лет,Not specified
Медиа-аналитик (digital),"JavaScript, MS SQL, Медийная реклама, weborama, Яндекс.Метрика, MS Excel",От 1 года до 3 лет,Not specified
Системный аналитик,,От 1 года до 3 лет,Not specified
Системный аналитик (СберЧат.Data),,От 1 года до 3 лет,Not specified
Data scientist (команды CRM и модели оптимизации),"Python, Hadoop, ML, DL, PySpark",От 1 года до 3 лет,Not specified
Бизнес-аналитик (Data usage),,От 1 года до 3 лет,Not specified
Data Engineer,"SQL, Python",От 1 года до 3 лет,Not specified
Системный аналитик (отчетность ЦБ),,От 3 до 6 лет,Not specified
"Аналитик данных (рекомендательные системы, персонализация)","SQL, Python, Исследовательский анализ данных, Математическая статистика, ML, Маркетплейс, Рекомендательные системы",От 1 года до 3 лет,Not specified
Менеджер продукта,"UI/UX, Дизайн-мышление, CJM, Аналитическое мышление, Разработка продукта, Google Analytics, Яндекс.Метрика, Аппметрика, GTM, Data-driver, Jira, LTV",От 1 года до 3 лет,Not specified
Разработчик Python / Middle Python Developer,"Python, PostgreSQL, Clickhouse, Greenplum",От 1 года до 3 лет,Not specified
Junior Data Analyst,,Нет опыта,Not specified
Продуктовый маркетолог (образовательных и развлекательных услуг),,От 3 до 6 лет,Not specified
Senior Financial Analyst,,Нет опыта,Not specified
Трафик-менеджер (МТС AdTech),"Яндекс.Метрика, Google Analytics, Adloox, Adriver, Weborama, MyTarget, Appmetrica, AdJust, AppsFlyer, VK, Hybrid, Soloway, GetIntent, MS Excel, Programmatic",От 1 года до 3 лет,Not specified
Аналитик Данных/ML Engineer (GigaChat Сбера),,От 1 года до 3 лет,Not specified
Аналитик данных (junior),,От 1 года до 3 лет,Not specified
"Старший аналитик-разработчик, Аналитика поиска","Python, SQL, PySpark, airflow, Разработка поисковых технологий, IT",От 3 до 6 лет,Not specified
Специалист по анализу данных о потребителе / Consumer Data Analyst,Medialogia,От 1 года до 3 лет,Not specified
IOS-разработчик,,От 3 до 6 лет,Not specified
Middle java разработчик (г. Домодедово),"Postgres, Spring, Hibernate, JDBC, PostgreSQL, Redis, Clickhouse, Apache Kafka, Grafana",От 1 года до 3 лет,Not specified
Digital-маркетолог,,От 1 года до 3 лет,Not specified
Product manager,,От 3 до 6 лет,Not specified
Data engineer/Data Analyst,"SQL, Python, Power BI, Визуализация данных, Clickhouse, PostgreSQL, MS Excel",От 3 до 6 лет,Not specified
Руководитель направления (DIY),"Ведение переговоров, Обучение и развитие, Деловое общение, Развитие продаж",От 3 до 6 лет,Not specified
"Chief Product Officer SME (Казахстан, банк)","CPO, Банковские продукты, SME",От 3 до 6 лет,Not specified
Продуктовый аналитик,"Продуктовые метрики, SQL",От 1 года до 3 лет,Not specified
Etl-инженер,,От 3 до 6 лет,Not specified
Аналитик данных (МТС AdTech),"Яндекс.Метрика, Digital Marketing, MS Excel, Аналитика",От 1 года до 3 лет,Not specified
Retention-маркетолог,,От 3 до 6 лет,Not specified
Менеджер по продукту (карточка товара),Торговая площадка,От 1 года до 3 лет,Not specified
Технический руководитель проектов (BI/DWH),"Управление проектами, Ведение переговоров, Scala, Spark, Деловая коммуникация, Hadoop, Big Data, Java Script, Умение организовать работу, Высокие коммуникативные навыки, Проектная деятельность, Работа в условиях многозадачности",От 3 до 6 лет,Not specified
Руководитель направления аналитики рынка недвижимости (премиум сегмент),"Грамотная речь, Подготовка презентаций, MS PowerPoint, Грамотность, Исследования рынка, Оценка недвижимости, Мониторинг рынка, Элитная недвижимость, Загородная недвижимость, написание аналитических текстов, Excel, Сбор и анализ информации",От 1 года до 3 лет,Not specified
Java Oracle разработчик (middle),"Java, JDBC, Swing, Java Applet, Apache Maven, ORACLE, CRUD, SQL, Git, JavaScript, HTML, CSS",От 3 до 6 лет,Not specified
Data Scientist,,От 1 года до 3 лет,Not specified
Chief Revenue Officer (Chief Digital Commercial Officer),,Более 6 лет,Not specified
Младший аналитик данных // Junior data analyst,,От 1 года до 3 лет,Not specified
Финансовый аналитик,,От 3 до 6 лет,Not specified
Бизнес аналитик,"ITSM, Аналитик, ITIL, ServiceDesk, BPMsoft",От 1 года до 3 лет,Not specified
Разработчик DWH,"Oracle Pl/SQL, SQL, ORACLE, ETL",От 1 года до 3 лет,Not specified
Бизнес-аналитик,"Анализ бизнес-процессов, User Story Mapping, A/B тесты, администрирование ИТ сетей",От 1 года до 3 лет,Not specified
Аналитик ценообразования,,От 1 года до 3 лет,Not specified
Data analyst (ВБ Банк),,От 1 года до 3 лет,Not specified
Data Engineer (Teradata),"Teradata, Informatica Power Center, Apache Kafka",От 3 до 6 лет,Not specified
Product owner,,От 1 года до 3 лет,Not specified
Data-analyst (office Belgrade),,От 1 года до 3 лет,Not specified
"Middle QA Automation Engineer Python (DSP, МТС Веб Сервисы)","Python, Pytest, Allure, PostgreSQL, Linux",От 3 до 6 лет,Not specified
Senior Data Scientist / старший аналитик-исследователь в команду ж/д,"Математическое моделирование, Аналитические исследования, Маркетинговый анализ, Python, SQL, Git, Clickhouse",От 3 до 6 лет,Not specified
Senior data/product analyst (SberDevices),,От 3 до 6 лет,Not specified
Менеджер стратегических партнёрств,,Более 6 лет,Not specified
Архитектор данных / Data Architect,"Data Governance, DataVault, Databricks, DataLake, S2T, ERD, Системный анализ, ИТ-архитектура, Качество данных, DWH, ETL, Проектирование витрин данных, Проектирование высоконагруженных систем, Управление командой разработки",От 3 до 6 лет,Not specified
Marketing Data Analyst,"Python, SQL, MS Excel, Tableau, Бизнес-анализ, SEO оптимизация, Маркетинговый анализ, Английский язык, Исследовательский анализ данных, Организация работы сотрудников, Формирование аналитической отчетности, Маркетинговые метрики",От 1 года до 3 лет,Not specified
Дата-инженер (ClickHouse),,От 3 до 6 лет,Not specified
Аналитик (инженер данных),"Greenplum, Apache Airflow, PostgreSQL, Python, Tableau, DWH",От 3 до 6 лет,Not specified
Продуктовый аналитик,"SQL, Python, Аналитическое мышление, Статистика, A/B тесты, Git, Airflow, Hive/Hadoop, Power BI, Superset, Grafana, Vertica, Clickhouse, Big Data, математика, Инициативность, многозадачность, Стрессоустойчивость, внимание к деталям",От 1 года до 3 лет,Not specified
Data Engineer,,От 3 до 6 лет,Not specified
Трейд-маркетолог,"SWOT анализ, Анализ поведения пользователей, Работа в команде, MS PowerPoint, Анализ данных, Продажи через дистрибьюторов, Аналитика, MS Outlook, Trade Marketing",От 1 года до 3 лет,Not specified
Системный архитектор,"ИТ-архитектура, Архитектурные решения, Постановка задач разработчикам, Микросервисная архитектура, Архитектурные паттерны, Системный дизайн, Стратегия развития архитектуры",Более 6 лет,Not specified
Data Engineer,,От 1 года до 3 лет,Not specified
Marketing analyst,"Google Analytics, Статистический анализ, Python, Аналитическое мышление, Аналитические исследования, Анализ данных, Tableau, Маркетинговые исследования, SQL",От 3 до 6 лет,Not specified
Java-разработчик,,От 3 до 6 лет,Not specified
Senior Java developer,"Java 17, Spring Boot, PostgreSQL",От 3 до 6 лет,Not specified
Системный/Бизнес-аналитик (Reporting),,От 1 года до 3 лет,Not specified
Аналитик данных (продукт «Фактор»),"SQL, Системный анализ, Python, Big Data",От 1 года до 3 лет,Not specified
Data analyst (Сервисы роботизации),,От 1 года до 3 лет,Not specified
Старший бизнес-аналитик,,Более 6 лет,Not specified
Системный аналитик,,От 1 года до 3 лет,Not specified
"Business Development Manager (B2B, IT/Outstaff, part-time)","B2B Продажи, Активные продажи, Консультативные продажи, Построение воронки продаж, Ведение переговоров",Более 6 лет,Not specified
Data analyst / Аналитик данных,"SQL, Python, PostgreSQL, Clickhouse, Airflow",От 1 года до 3 лет,Not specified
Media Data Analyst (media research),"SQL, MS PowerPoint, Python, Data Analysis, Palomars, Galileo, Media Research, Аналитическое мышление, Маркетинговый анализ, Mediascope, Визуализация данных, MS SQL, Clickhouse, PostgreSQL, Clickhouse, PostgreSQL, TV Index, Crossweb (в Jupyter Notebook), Adex, Jupyter Notebook, Excel, Media Researcher, медиаисследования, media research, медийный баинг, TNS Russia",Нет опыта,Not specified
Data Engineer (Сбережения),,От 1 года до 3 лет,Not specified
ИТ бизнес-партнер (аналитические системы),"DWH, Data Analysis, PMBOK",От 3 до 6 лет,Not specified
BI Analyst,,От 3 до 6 лет,Not specified
Финансовый аналитик в международную компанию,"Аналитическое мышление, Анализ бизнес-процессов",От 3 до 6 лет,Not specified
IT-лидер проектов по разработке ПО,"Управление проектами, BPMN, ГОСТ, UML, Разработка технических заданий, Разработка ПО, Atlassian Jira, Scrum, Системный анализ, Работа с большим объемом информации, Взаимодействие с заказчиком, Управление требованиями, Управление процессами, Java",От 3 до 6 лет,Not specified
Старший аналитик / Techlead,,Более 6 лет,Not specified
"Руководитель отдела технической клиентской поддержки 1,2 линия","Техническая поддержка, Обращение с технической документацией, Ответственность, Help Desk, Техническая поддержка пользователей, Разработка пользовательской документации, Организаторские навыки, Клиентоориентированность, SLA",От 3 до 6 лет,Not specified
Ведущий менеджер по клиентской лояльности и маркетинговым коммуникациям,"Аналитика, Управление лояльностью потребителей, CRM-автоматизация, SQL",От 3 до 6 лет,Not specified
B2C Analytics Partner / B2C Аналитик-партнёр,"Английский язык, Python, SQL, Tableau",От 3 до 6 лет,Not specified
Sales Specialist / Junior KAM,"Английский язык, MS Excel, Работа с компьютером, Работа в команде, MS Outlook, Аналитика продаж, Расчет премий и бонусов, Trade Marketing",От 1 года до 3 лет,Not specified
Senior Product Analyst,"SQL, Python, Математическая статистика, Tableau",От 3 до 6 лет,Not specified
Data Scientist (риск-моделирование),,От 1 года до 3 лет,Not specified
ИТ Бизнес-партнер / IT Business Partner (проекты по локализации),"Бизнес-анализ, Управление изменениями, Управление стейкхолдерами, Project management, Product Management",От 3 до 6 лет,Not specified
Data analyst/Researcher,"Английский язык, Аналитические тексты, Формирование аналитической отчетности, Анализ текстовой информации, Мониторинг СМИ, Atlassian Confluence, Power BI, SQL, Визуализация данных",От 1 года до 3 лет,Not specified
Начальник отдела разработки,,Более 6 лет,Not specified
Аналитик данных ТЕРМОЛЭНД,,Нет опыта,Not specified
"Аналитик данных (Excel, SQL)","Python, SQL, Excel",От 3 до 6 лет,Not specified
Руководитель по развитию кросс-продаж с применением AI-технологий,,От 3 до 6 лет,Not specified
Marketing Manager (Crypto/Blockchain),"Английский язык, SEO, paid ads, influencers marketing, Digital Marketing, ASO",От 3 до 6 лет,Not specified
"Системный аналитик/ОФИС (проект ""Ванильная карта""/процессинг/Big Data)","UML, Системный анализ, BPMN, Анализ требований, Постановка задач разработчикам, SQL, JSON, Анализ бизнес-процессов, Системная интеграция",От 1 года до 3 лет,Not specified
Менеджер по работе с партнерами / Account Manager,"AppsFlyer, Английский язык, Деловая коммуникация",От 3 до 6 лет,Not specified
Директор отдела маркетинга и PR,"Продвижение бренда, Позиционирование бренда, Масштабирование маркетинговых кампаний, Трейд-маркетинговая стратегия, Медиапланирование, Маркетинговая стратегия, Анализ эффективности маркетинговых кампаний, Маркетинговый аудит, Маркетинговые метрики, Запуск маркетинговых кампаний, Прямой маркетинг, Разработка маркетинговых кампаний, Анализ конкурентной среды, Оптимизация маркетинговых кампаний, Маркетинговые коммуникации, Планирование маркетинговых кампаний, Организаторские навыки, Деловая переписка, Грамотная речь, Организация мероприятий",От 3 до 6 лет,Not specified
Инженер по данным,"SQL, Apache Airflow, Python, DWH, Git",От 1 года до 3 лет,Not specified
Финансовый аналитик,,От 1 года до 3 лет,Not specified
"Middle системный аналитик в MWS Data Factory [Big Data, МТС Веб Сервисы]","SQL, Python, Hadoop, PySpark, pandas, Big Data, API, REST, REST API, Системная интеграция, Работа с базами данных",От 1 года до 3 лет,Not specified
Product Lead в AI-центр,,Более 6 лет,Not specified
Ведущий бизнес аналитик в направление продаж,"Бизнес-анализ, Анализ бизнес-процессов, Моделирование бизнес-процессов, Системный анализ, Разработка бизнес-требований, Описание бизнес-процессов, Реинжиниринг бизнес-процессов, MS Excel, Постановка задач разработчикам, Разработка технических заданий, Английский язык, Разработка пользовательской документации",От 3 до 6 лет,Not specified
Продуктовый аналитик (ML),"SQL, Apache Airflow, Python, Продуктовые метрики, Big Data, ML",От 1 года до 3 лет,Not specified
"Аналитик данных (проект ""Мультибонус"")",,От 1 года до 3 лет,Not specified
Руководитель группы DWH (с Clickhouse),,От 3 до 6 лет,Not specified
Junior Data Scientist (A/B-testing),,От 1 года до 3 лет,Not specified
Аналитик данных,"SQL, Python, Jupiter, Git, A/B тесты, Data Analysis, pandas",От 3 до 6 лет,Not specified
Риск-аналитик (Data Science),,От 1 года до 3 лет,Not specified
Аналитик данных / дата аналитик / data analyst,,От 1 года до 3 лет,Not specified
Producer/Product Manager (gamedev),,От 3 до 6 лет,Not specified
Системный аналитик Oracle (DWH),"DWH, ORACLE, data vault",От 3 до 6 лет,Not specified
Системный администратор,"Linux, Hadoop, СУБД, DNS, Docker, SSL/TLS, Ansible, Apache Cassandra",Нет опыта,Not specified
Аналитик данных (Data scientist/дата-инженер),,От 1 года до 3 лет,Not specified
Старший менеджер по продукту,,От 3 до 6 лет,Not specified
Эксперт/аналитик данных отдела развития и автоматизации отчетности,"Базы данных, Data Analysis, SQL, Python, MS Excel",От 1 года до 3 лет,Not specified
Team-lead команды аналитики,"Бизнес-анализ, Системный анализ, BPMN, UML, JSON, XML, REST, SOAP, SQL, Atlassian Confluence, Atlassian Jira",От 3 до 6 лет,Not specified
Руководитель отдела продаж в онлайн школу,"Управление командой, Управление временем, B2B Продажи, B2C продажи, Деловая коммуникация, Управление продажами, Обучение персонала, Руководство коллективом, Аналитическое мышление, Конкурентная аналитика, Работа с системами аналитики, Подбор персонала, Планирование продаж",От 3 до 6 лет,Not specified
Data Analyst (Товарные потери),,От 3 до 6 лет,Not specified
Team Lead DWH группы в Data Office,,Более 6 лет,Not specified
Системный аналитик ML,"Python, Data Analysis, ML, pandas, Системный анализ, Постановка задач разработчикам",От 1 года до 3 лет,Not specified
Аналитик данных,,От 3 до 6 лет,Not specified
Data analyst (Направления аналитики Департамента по работе с премиальными клиентами),,От 1 года до 3 лет,Not specified
BI-Аналитик,,От 3 до 6 лет,Not specified
Бизнес аналитик 1С,1С: Розница,От 3 до 6 лет,Not specified
Аналитик по работе с данными,,От 3 до 6 лет,Not specified
Аналитик данных,,От 3 до 6 лет,Not specified
Product Manager Middle/Senior (monetization | CPA | Fintech),,От 3 до 6 лет,Not specified
ML Engineer (LLM),"Python, Time Series Analysis, Big Data",От 3 до 6 лет,Not specified
Директор по работе с ключевыми клиентами,"Активные продажи, Навыки переговоров, Ведение переговоров, Деловое общение, B2B Продажи, Развитие продаж",От 3 до 6 лет,Not specified
Data Engineer,"Python, SQL, Apache Airflow, Big Data, Математическая статистика, Сбор требований",От 1 года до 3 лет,Not specified
Продуктовый аналитик (МТС AdTech),"SQL, Python, Superset, Яндекс.Метрика, Google Analytics",От 1 года до 3 лет,Not specified
Старший технический писатель,,От 3 до 6 лет,Not specified
Middle Системный аналитик (трайб POS),,От 3 до 6 лет,Not specified
Руководитель отдела холодных продаж (B2B),"B2B Продажи, Прогнозирование продаж, Управление продажами, Ответственность, Исполнительность, Работоспособность, Обучаемость, Развитие руководителей, Холодные продажи, Стратегия продаж, Аудит продаж, Ориентация на результат, Стрессоустойчивость, Аналитический склад ума, Аналитика маркетплейсов, Стратегическое мышление",От 1 года до 3 лет,Not specified
Marketing analyst (non-food FMCG company),"Analysis, Анализ рынка",От 1 года до 3 лет,Not specified
Технический лидер DWH и BI (РСБУ),"РСБУ, ORACLE, ЕХД, DWH, регуляторная отчётность",От 3 до 6 лет,Not specified
"Руководитель отдела маркетинга в IT, SaaS в B2B",,От 3 до 6 лет,Not specified
Web/Mobile-аналитик,"Яндекс.Метрика, Google Sheet",Нет опыта,Not specified
Data analyst,"SQL, DWH, Apache Spark, ETL, Hadoop, Spark, Apache Hive",От 3 до 6 лет,Not specified
Операционный директор (COO в онлайн-школу),"Оптимизация бизнес-процессов, Бюджетирование, Стратегический менеджмент, Управление бизнес процессами, Стратегическое планирование, Управление командой",Более 6 лет,Not specified
Руководитель аналитиков отчетности,,Нет опыта,Not specified
Scala developer (middle),,От 3 до 6 лет,Not specified
"Middle системный аналитик в MWS Data [Big Data, МТС Веб Сервисы]","SQL, Python, Hadoop, PySpark, pandas, Big Data, API, REST, REST API, Системная интеграция, Работа с базами данных",От 1 года до 3 лет,Not specified
Data/BI Analyst (IGaming),,От 3 до 6 лет,Not specified
Ведущий аналитик DWH (Эксперт по витринам данных),,От 3 до 6 лет,Not specified
Старший продуктовый аналитик (СберСпасибо),,От 3 до 6 лет,Not specified
Ведущий руководитель проектов (международные проекты),"Project management, Планирование бюджета, Управление бэклогом, Управление рисками, Управление ресурсами, BI, DWH, Английский язык",Более 6 лет,Not specified
Менеджер по информационным технологиям (проекты HR),"Бизнес-анализ, Управление изменениями, Управление стейкхолдерами, Project management, Product Management, КЭДО",От 3 до 6 лет,Not specified
Data Analyst,,От 3 до 6 лет,Not specified
Data Engineer (Hadoop),"Hadoop, SQL, Greenplum",От 1 года до 3 лет,Not specified
Data analyst / Аналитик данных,"Python, SQL, Big Data, Machine Learning",От 3 до 6 лет,Not specified
Data-аналитик,"SQL, ETL, Python, Hadoop, Spark",От 1 года до 3 лет,Not specified
Project manager в Дивизион рекламных продуктов и технологий,,Более 6 лет,Not specified
Product owner (личный кабинет клиента),,От 3 до 6 лет,Not specified
Scrum мастер,"Agile, Scrum, Kanban, Less, Фасилитация",От 3 до 6 лет,Not specified
"Senior Product Manager (Сервис ""Пакет"")","Product Management, Customer Journey Mapping, User Story Mapping, User Stories Mapping, Дизайн-мышление, Unit-экономика, MS Office, Atlassian Jira, Kaiten, Agile, Scrum, Kanban",От 3 до 6 лет,Not specified
Product owner,"Atlassian Jira, Atlassian Confluence, Управление продуктом",От 3 до 6 лет,Not specified
Разработчик DWH,,От 1 года до 3 лет,Not specified
Руководитель отдела аналитики и исследований/CDO,"SQL, DWH, Power BI, Spark, ETL, Data Governance",Более 6 лет,Not specified
Системный аналитик,"SQL, Системный анализ, BPMN, UML, API, Разработка функциональных требований, Разработка бизнес-требований, Проектирование ИС",От 1 года до 3 лет,Not specified
Ведущий Data Scientist (BI-аналитик),"MS Power BI, DataEnginer, дашборд, SQL, Python, Работа с системами аналитики",От 1 года до 3 лет,Not specified
"Ведущий архитектор данных (Data & BI, архитектурный консалтинг) в вендоре российской BI платформы","DWH, Data Lake, ETL/ELT, НСИ, BigData, SQL, NoSQL, Hadoop, Spark, Clickhouse, Vertica, Visiology, Power BI, Qlik, Tableau",От 3 до 6 лет,Not specified
Продуктовый менеджер по промо-направлению (Pharma B2B),"Руководство коллективом, Разработка нового продукта, Анализ конкурентной среды, Анализ ассортиментной линейки, Проведение презентаций, Маркетинговые коммуникации, Разработка маркетинговой стратегии, Развитие бренда, Бренд-менеджмент, Деловая коммуникация, Планирование рекламных кампаний, Навыки презентации",От 3 до 6 лет,Not specified
Data Analyst,"SQL, Python, Математическая статистика, Tableau",От 3 до 6 лет,Not specified
Data Engineer (Культура и туризм),,От 3 до 6 лет,Not specified
Менеджер по реанимации клиентов (IT-продукт),"Кросс-продажи, B2B Продажи, B2C продажи, Выявление потребностей, телефонные продажи, Сопровождение клиентов",От 1 года до 3 лет,Not specified
Account manager / Project manager / Digital,"Programmatic, Деловая коммуникация",От 1 года до 3 лет,Not specified
Middle Data Scientist (кредитно-платежные продукты),"Python, SQL, Big Data, Hadoop",От 1 года до 3 лет,Not specified
Senior Strategic Manager,Английский язык,От 3 до 6 лет,Not specified
Аналитик DWH (банковский сектор),,От 3 до 6 лет,Not specified
"Маркетолог маркетплейсов Wildberries, Ozon","Интернет-реклама, Internet Marketing, Медийная реклама, Маркетинговые метрики, Интернет-маркетинг, Маркетинговый анализ, Маркетинговые коммуникации, Оптимизация маркетинговых кампаний",От 1 года до 3 лет,Not specified
Бизнес-аналитик,,От 1 года до 3 лет,Not specified
Аналитик DWH/Data аналитик,"MS SQL, Hadoop",От 1 года до 3 лет,Not specified
Аналитик данных / специалист,"Data Mining, Машинное обучение, Математическая статистика, API, Python, Предобработка данных",От 1 года до 3 лет,Not specified
Дата инженер,"Датаинженер, Arenadata DB",От 3 до 6 лет,Not specified
"Data Scientist, Платформа чат-ботов","IT, Торговая площадка",От 3 до 6 лет,Not specified
"Старший разработчик Java, Java-платформа","Java, Разработка поисковых технологий, IT, Kafka, Apache Spark, gRPC, Redis, Hadoop, Kubernetes",От 3 до 6 лет,Not specified
Продуктовый аналитик CIB,"Продуктовые метрики, Когортный анализ, Анализ воронки продаж, Unit-экономика, ROI, SQL, Python, MS Excel, MS SQL, Анализ данных, Визуализация данных, Бизнес-анализ",От 1 года до 3 лет,Not specified
Account manager (IT/Digital),"Digital Marketing, Деловая коммуникация, E-Commerce, b2b, Account Management, Работа с ключевыми клиентами",От 1 года до 3 лет,Not specified
Data Analyst/Data Scientist в команду Внепродуктовой аналитики,"Python, SQL, АБ тестирование",От 3 до 6 лет,Not specified
Аналитик данных / Продуктовый аналитик (кредитные продукты),"SQL, data analyst, product analyst",От 3 до 6 лет,Not specified
Продуктовый аналитик,,От 1 года до 3 лет,Not specified
Продуктовый аналитик,"SQL, Разработка технических заданий, BPMN, UML, Системный анализ, Работа с базами данных",От 1 года до 3 лет,Not specified
System Analyst DWH,"SQL, DWH, ORACLE, СУБД, Базы данных, Хранилища данных",От 1 года до 3 лет,Not specified
Web - аналитик,"Яндекс.Метрика, Аналитика, WEB аналитика, Маркетинговый анализ, Работа с большим объемом информации",От 1 года до 3 лет,Not specified
Руководитель направления аналитики данных для процессингового центра,,Более 6 лет,Not specified
Data analyst,SQL,От 3 до 6 лет,Not specified
Директор подразделения продуктовой аналитики в средний и малый бизнес,,Более 6 лет,Not specified
Бизнес-аналитик в онлайн-институт психологии,"Бизнес-анализ, Геткурс, PowerBI, LMS, LTV, РНП-отчёты, amoCRM, CAC, Payback Period",От 1 года до 3 лет,Not specified
Разработчик Python (Groovy),,От 3 до 6 лет,Not specified
Тестировщик 1С,"1С, Функциональное тестирование, JSON, Apache Kafka",От 3 до 6 лет,Not specified
Аналитик перфоманс-маркетинга,,От 3 до 6 лет,Not specified
Менеджер по продажам B2B,"B2B Продажи, Активные продажи, amoCRM, Телефонные переговоры, Выявление потребностей, Работа с CRM, Стратегия продаж",От 1 года до 3 лет,Not specified
Администратор Битрикс,"1С-Битрикс, Битрикс24, Atlassian Jira",Нет опыта,Not specified
Data Analyst / Engineer,,Нет опыта,Not specified
Java Core разработчик (middle),"Java, Git, ORACLE, SQL, RabbitMQ, Kafka, Java EE, REST, Maven",От 3 до 6 лет,Not specified
Data Scientist,"Python, SQL, Алгоритмы и структуры данных, Статистические модели, A/B тесты, Визуализация данных",От 1 года до 3 лет,Not specified
Системный аналитик (Северсталь Диджитал),"UML, BPMN, Системный анализ, SQL, Python, SOAP, JSON API, REST",От 3 до 6 лет,Not specified
Аналитик (ID-сервис),,От 3 до 6 лет,Not specified
Аналитик данных / Data Engineer,"Python, SQL, Базы данных, Grafana, массивы данных, Data Engineer, Clickhouse, Основы баз данных, Apache Kafka, Визуализация данных",От 3 до 6 лет,Not specified
Data Analyst / Аналитик данных,"Python, SQL, pandas, Numpy, Apache Airflow, sklearn",От 1 года до 3 лет,Not specified
Middle Analyst / Аналитик,,От 1 года до 3 лет,Not specified
Менеджер по продукту,,От 1 года до 3 лет,Not specified
Data Engineer в команду контента,,От 3 до 6 лет,Not specified
Data Analyst / BI (Специалист по аналитике данных и бизнес-интеллекту),,От 3 до 6 лет,Not specified
Cтарший менеджер продукта в S3,,От 3 до 6 лет,Not specified
Дата-аналитик по созданию предиктивных систем на производстве,,От 1 года до 3 лет,Not specified
Аналитик MES,"MES, Atlassian Jira, Atlassian Confluence, Аналитика, Бизнес-анализ, BPMN",От 1 года до 3 лет,Not specified
Системный аналитик (Брокерский бизнес),,От 3 до 6 лет,Not specified
HR партнер (розница),"Обучение и развитие, Стратегия управления персоналом, Система мотивации персонала, Планирование численности персонала, Оценка персонала",От 1 года до 3 лет,Not specified
CPO рекламных продуктов в digital,,От 3 до 6 лет,Not specified
Data Analyst (развитие процессов формирования финансовой отчетности),,От 3 до 6 лет,Not specified
QA инженер в команду HR Tech,"Java, QA, Автоматизированное тестирование, Ручное тестирование, Selenium, SQL",От 1 года до 3 лет,Not specified
Руководитель отдела маркетинга (Digital),,Более 6 лет,Not specified
Data Engineer (Middle),"ETL, DWH, Clickhouse, PostgreSQL, Greenplum, Tableau, Power BI, API, RabbitMQ, Python",От 1 года до 3 лет,Not specified
Аналитик данных (Data analyst),"SQL, Python, Numpy, Matplotlib, Scikit-learn, Ad Hoc Analysis, pandas, построение моделей, Проверка статистических гипотез, Анализ данных, Визуализация данных",От 1 года до 3 лет,Not specified
